jahr_an_anno,plz_npa,ga_ag,ga_ag_flag,hta_adt_meta_prezzo,hta_adt_meta_prezzo_flag,bevolkerung,anteil_ga_besitzer,anteil_hta_besitzer_
2012,1005,860.0,,4021.0,,11690.0,7.356715141146279,34.39692044482464
2012,1011,9.941908713692946,1.0,32.0,,41.0,24.248557838275477,78.04878048780488
2012,1015,151.0,,3275.0,,,,
2012,1020,541.0,,2885.0,,20232.0,2.6739818109924873,14.259588770264926
2012,1028,182.0,,1047.0,,5076.0,3.5855003940110324,20.62647754137116
2012,1031,9.941908713692946,1.0,95.0,,639.0,1.5558542587938884,14.86697965571205
2012,1043,9.941908713692946,1.0,72.0,,347.0,2.865103375704019,20.7492795389049
2012,1044,9.941908713692946,1.0,102.0,,589.0,1.6879301721040656,17.31748726655348
2012,1059,9.941908713692946,1.0,41.0,,393.0,2.5297477642984596,10.432569974554708
2012,1076,9.941908713692946,1.0,55.0,,319.0,3.1165858036655005,17.24137931034483
2012,1078,9.941908713692946,1.0,51.0,,327.0,3.040339056175213,15.596330275229358
2012,1085,9.941908713692946,1.0,74.0,,418.0,2.378447060692092,17.70334928229665
2012,1091,108.0,,779.0,,2630.0,4.106463878326996,29.61977186311787
2012,1134,68.0,,361.0,,1129.0,6.023029229406554,31.975199291408327
2012,1167,23.0,,185.0,,643.0,3.576982892690513,28.771384136858476
2012,1168,25.0,,138.0,,564.0,4.432624113475177,24.46808510638298
2012,1172,20.0,,95.0,,425.0,4.705882352941177,22.352941176470587
2012,1175,24.0,,159.0,,883.0,2.7180067950169873,18.006795016987542
2012,1176,9.941908713692946,1.0,109.0,,672.0,1.4794507014424028,16.220238095238095
2012,1189,9.941908713692946,1.0,49.0,,366.0,2.716368501009002,13.387978142076504
2012,1201,508.0,,6086.0,,21323.0,2.382403976926324,28.54195000703466
2012,1205,668.0,,6424.0,,32756.0,2.039321040420076,19.611674197093663
2012,1212,130.0,,1576.0,,14266.0,0.9112575353988505,11.047245198373757
2012,1214,63.0,,806.0,,8172.0,0.7709251101321586,9.862946647087616
2012,1218,111.0,,1466.0,,11724.0,0.946775844421699,12.504264756055953
2012,1226,116.0,,1582.0,,13374.0,0.8673545685658741,11.828921788544937
2012,1232,40.0,,666.0,,4311.0,0.9278589654372535,15.44885177453027
2012,1237,9.941908713692946,1.0,182.0,,1771.0,0.5613725981757733,10.276679841897234
2012,1243,9.941908713692946,1.0,77.0,,602.0,1.6514798527729146,12.790697674418604
